classifier_name,mean_training_time,mean_testing_time,mean_accuracy_score,mean_precision_score,mean_recall_score,mean_f1_score,mean_model_size
AdaBoost, 52.4111,  1.8633,  0.7866,  0.7866,  0.7866,  0.7866,63810.0000
Bagging, 15.0923,  0.2439,  0.9997,  0.9997,  0.9997,  0.9997,1027874.0000
Decision Tree (CART),  2.3330,  0.0084,  0.9995,  0.9995,  0.9995,  0.9995,126409.0000
K Neighbors,  0.0486,441.6670,  0.9986,  0.9986,  0.9986,  0.9986,149392857.4000
Logistic Regression,154.8023,  0.0195,  0.9574,  0.9574,  0.9574,  0.9574,8642.0000
Multi Layer Perceptron  ,298.5620,  0.2062,  0.9963,  0.9963,  0.9963,  0.9963,214557.6000
Naive Bayes ,  0.4724,  0.3285,  0.9484,  0.9484,  0.9484,  0.9484,16251.0000
One Rule,  0.0269,  0.0547,  0.4098,  0.4098,  0.4098,  0.4098,836.0000
Random Forest, 19.5079,  0.7065,  0.9998,  0.9998,  0.9998,  0.9998,17025372.0000
Support Vector Machines  ,14453.5621,1306.2801,  0.6352,  0.6352,  0.6352,  0.6352,179564859.2000
Zero Rule,  0.0222,  0.0004,  0.5684,  0.5684,  0.5684,  0.5684,839.0000
